Study_id,Network_id,Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comments,Flower_data_merger
2_Petanidou,Armolia,14,5,2015,Armolia,Crepis multiflora,1.2,Number of flowers/square meter,NA,CrepismultifloraArmolia14-05-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Crupina crupinastrum,0.36,Number of flowers/square meter,NA,CrupinacrupinastrumArmolia14-05-2015
2_Petanidou,Armolia,25,6,2015,Armolia,Daucus carota,107.6,Number of sub-inflorescences/square meter,NA,DaucuscarotaArmolia25-06-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Fumana arabica,0.24,Number of flowers/square meter,NA,FumanaarabicaArmolia14-05-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Gagea graeca,1.96,Number of flowers/square meter,NA,GageagraecaArmolia20-04-2015
2_Petanidou,Armolia,25,6,2015,Armolia,Genista acanthoclada,6.72,Number of flowers/square meter,NA,GenistaacanthocladaArmolia25-06-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Geranium purpureum,1.92,Number of flowers/square meter,NA,GeraniumpurpureumArmolia20-04-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Helichrysum stoechas,10.52,Number of stalks/square meter,NA,HelichrysumstoechasArmolia14-05-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Hirschfeldia incana,1.28,Number of flowers/square meter,NA,HirschfeldiaincanaArmolia14-05-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Hypericum empetrifolium,5.04,Number of flowers/square meter,NA,HypericumempetrifoliumArmolia14-05-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Hypochaeris achyrophorus,3.28,Number of flowers/square meter,NA,HypochaerisachyrophorusArmolia20-04-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Leontodon tuberosus,1.32,Number of flowers/square meter,NA,LeontodontuberosusArmolia20-04-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Nigella damascena,0.24,Number of flowers/square meter,NA,NigelladamascenaArmolia14-05-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Ononis pubescens,0.2,Number of flowers/square meter,NA,OnonispubescensArmolia14-05-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Ornithogalum montanum,0.88,Number of flowers/square meter,NA,OrnithogalummontanumArmolia20-04-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Pallenis spinosa,0.72,Number of flowers/square meter,NA,PallenisspinosaArmolia14-05-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Papaver rhoeas,0.04,Number of flowers/square meter,NA,PapaverrhoeasArmolia20-04-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Salvia fruticosa,34.32,Number of flowers/square meter,NA,SalviafruticosaArmolia20-04-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Salvia fruticosa,1.2,Number of flowers/square meter,NA,SalviafruticosaArmolia14-05-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Salvia viridis,16.08,Number of flowers/square meter,NA,SalviaviridisArmolia20-04-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Satureja thymbra,40.32,Number of flowers/square meter,NA,SaturejathymbraArmolia14-05-2015
2_Petanidou,Armolia,25,6,2015,Armolia,Satureja thymbra,3.6,Number of flowers/square meter,NA,SaturejathymbraArmolia25-06-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Scorzonera elata,0.24,Number of flowers/square meter,NA,ScorzoneraelataArmolia14-05-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Silene behen,1.52,Number of flowers/square meter,NA,SilenebehenArmolia20-04-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Sonchus asper,0.72,Number of flowers/square meter,NA,SonchusasperArmolia20-04-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Sonchus asper,0.24,Number of flowers/square meter,NA,SonchusasperArmolia14-05-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Stachys cretica,27.92,Number of flowers/square meter,NA,StachyscreticaArmolia14-05-2015
2_Petanidou,Armolia,25,6,2015,Armolia,Teucrium capitatum,5.6,Number of heads/square meter,NA,TeucriumcapitatumArmolia25-06-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Valerianella vesicaria,1.6,Number of inflorescences/square meter,NA,ValerianellavesicariaArmolia20-04-2015
2_Petanidou,Armolia,25,6,2015,Armolia,Verbascum lasianthum,0.88,Number of flowers/square meter,NA,VerbascumlasianthumArmolia25-06-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Bituminaria bituminosa,0.6,Number of flowers/square meter,NA,BituminariabituminosaEmborios10-05-2015
2_Petanidou,Emborios,14,4,2015,Emborios,Campanula lyrata,0.16,Number of flowers/square meter,NA,CampanulalyrataEmborios14-04-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Campanula lyrata,0.44,Number of flowers/square meter,NA,CampanulalyrataEmborios10-05-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Centaurium tenuiflorum,0.8,Number of flowers/square meter,NA,CentauriumtenuiflorumEmborios10-05-2015
2_Petanidou,Emborios,28,6,2015,Emborios,Centaurium tenuiflorum,0.96,Number of flowers/square meter,NA,CentauriumtenuiflorumEmborios28-06-2015
2_Petanidou,Emborios,14,4,2015,Emborios,Cistus creticus,0.08,Number of flowers/square meter,NA,CistuscreticusEmborios14-04-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Cistus creticus,3.8,Number of flowers/square meter,NA,CistuscreticusEmborios10-05-2015
2_Petanidou,Emborios,14,4,2015,Emborios,Cistus parviflorus,6.16,Number of flowers/square meter,NA,CistusparviflorusEmborios14-04-2015
2_Petanidou,Emborios,14,4,2015,Emborios,Cistus salviifolius,0.84,Number of flowers/square meter,NA,CistussalviifoliusEmborios14-04-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Convolvulus elegantissimus,0.68,Number of flowers/square meter,NA,ConvolvuluselegantissimusEmborios10-05-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Crepis commutata,1.76,Number of flowers/square meter,NA,CrepiscommutataEmborios10-05-2015
2_Petanidou,Emborios,28,6,2015,Emborios,Daucus carota,28.2,Number of sub-inflorescences/square meter,NA,DaucuscarotaEmborios28-06-2015
2_Petanidou,Emborios,14,4,2015,Emborios,Fumana arabica,0.52,Number of flowers/square meter,NA,FumanaarabicaEmborios14-04-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Fumana thymifolia,1.08,Number of flowers/square meter,NA,FumanathymifoliaEmborios10-05-2015
2_Petanidou,Emborios,28,6,2015,Emborios,Genista acanthoclada,54.56,Number of flowers/square meter,NA,GenistaacanthocladaEmborios28-06-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Helichrysum stoechas,3.8,Number of stalks/square meter,NA,HelichrysumstoechasEmborios10-05-2015
2_Petanidou,Emborios,14,4,2015,Emborios,Leontodon tuberosus,0.08,Number of flowers/square meter,NA,LeontodontuberosusEmborios14-04-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Orobanche sp.,5.24,Number of flowers/square meter,NA,Orobanchesp.Emborios10-05-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Pallenis spinosa,0.16,Number of flowers/square meter,NA,PallenisspinosaEmborios10-05-2015
2_Petanidou,Emborios,14,4,2015,Emborios,Prasium majus,1.04,Number of flowers/square meter,NA,PrasiummajusEmborios14-04-2015
2_Petanidou,Emborios,14,4,2015,Emborios,Salvia fruticosa,37.68,Number of flowers/square meter,NA,SalviafruticosaEmborios14-04-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Salvia fruticosa,6.88,Number of flowers/square meter,NA,SalviafruticosaEmborios10-05-2015
2_Petanidou,Emborios,14,4,2015,Emborios,Satureja thymbra,52.96,Number of flowers/square meter,NA,SaturejathymbraEmborios14-04-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Satureja thymbra,276.4,Number of flowers/square meter,NA,SaturejathymbraEmborios10-05-2015
2_Petanidou,Emborios,28,6,2015,Emborios,Satureja thymbra,1.6,Number of flowers/square meter,NA,SaturejathymbraEmborios28-06-2015
2_Petanidou,Emborios,10,5,2015,Emborios,Stachys cretica,1.84,Number of flowers/square meter,NA,StachyscreticaEmborios10-05-2015
2_Petanidou,Emborios,28,6,2015,Emborios,Teucrium capitatum,3.88,Number of heads/square meter,NA,TeucriumcapitatumEmborios28-06-2015
2_Petanidou,Emborios,28,6,2015,Emborios,Thymbra capitata,95.76,Number of flowers/square meter,NA,ThymbracapitataEmborios28-06-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Allium exile,1.92,Number of flowers/square meter,NA,AlliumexileGridia18-06-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Anacamptis morio,2.88,Number of flowers/square meter,NA,AnacamptismorioGridia15-05-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Anacamptis pyramidalis,2.32,Number of flowers/square meter,NA,AnacamptispyramidalisGridia17-04-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Anagallis arvensis,2.92,Number of flowers/square meter,NA,AnagallisarvensisGridia17-04-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Anagallis arvensis,4.16,Number of flowers/square meter,NA,AnagallisarvensisGridia15-05-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Anthemis chia,6.68,Number of flowers/square meter,NA,AnthemischiaGridia17-04-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Bituminaria bituminosa,10.36,Number of flowers/square meter,NA,BituminariabituminosaGridia15-05-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Cardopatium corymbosum,6.48,Number of flowers/square meter,NA,CardopatiumcorymbosumGridia18-06-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Cistus creticus,3.92,Number of flowers/square meter,NA,CistuscreticusGridia17-04-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Cistus creticus,1.28,Number of flowers/square meter,NA,CistuscreticusGridia15-05-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Crepis commutata,17.04,Number of flowers/square meter,NA,CrepiscommutataGridia15-05-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Crepis multiflora,0.84,Number of flowers/square meter,NA,CrepismultifloraGridia15-05-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Daucus carota,22,Number of sub-inflorescences/square meter,NA,DaucuscarotaGridia18-06-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Erodium malacoides,0.28,Number of flowers/square meter,NA,ErodiummalacoidesGridia17-04-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Eryngium campestre,1.44,Number of flowers/square meter,NA,EryngiumcampestreGridia18-06-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Genista acanthoclada,47.8,Number of flowers/square meter,NA,GenistaacanthocladaGridia18-06-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Glaucium flavum,0.28,Number of flowers/square meter,NA,GlauciumflavumGridia18-06-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Glebionis coronaria,0.16,Number of flowers/square meter,NA,GlebioniscoronariaGridia17-04-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Glebionis coronaria,0.12,Number of flowers/square meter,NA,GlebioniscoronariaGridia15-05-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Helichrysum stoechas,3.4,Number of stalks/square meter,NA,HelichrysumstoechasGridia18-06-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Hypochaeris achyrophorus,0.64,Number of flowers/square meter,NA,HypochaerisachyrophorusGridia17-04-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Jurinea mollis,0.24,Number of flowers/square meter,NA,JurineamollisGridia15-05-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Leontodon tuberosus,0.48,Number of flowers/square meter,NA,LeontodontuberosusGridia17-04-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Lotus tetragonolobus,2.6,Number of flowers/square meter,NA,LotustetragonolobusGridia17-04-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Muscari weissii,0.72,Number of flowers/square meter,NA,MuscariweissiiGridia17-04-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Notobasis syriaca,0.56,Number of flowers/square meter,NA,NotobasissyriacaGridia15-05-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Ophrys lutea,0.12,Number of flowers/square meter,NA,OphrysluteaGridia17-04-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Origanum onites,0.76,Number of spikes/square meter,NA,OriganumonitesGridia18-06-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Orobanche sp.,3.4,Number of flowers/square meter,NA,Orobanchesp.Gridia17-04-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Oxalis pes-caprae,1.04,Number of flowers/square meter,NA,Oxalispes-capraeGridia17-04-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Pallenis spinosa,0.48,Number of flowers/square meter,NA,PallenisspinosaGridia15-05-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Pallenis spinosa,1.96,Number of flowers/square meter,NA,PallenisspinosaGridia18-06-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Papaver rhoeas,1.92,Number of flowers/square meter,NA,PapaverrhoeasGridia15-05-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Papaver rhoeas,0.28,Number of flowers/square meter,NA,PapaverrhoeasGridia18-06-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Picris rhagadioloides,0.92,Number of flowers/square meter,NA,PicrisrhagadioloidesGridia18-06-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Pimpinella cretica,48.48,Number of sub-inflorescences/square meter,NA,PimpinellacreticaGridia15-05-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Pimpinella cretica,2.88,Number of sub-inflorescences/square meter,NA,PimpinellacreticaGridia18-06-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Prasium majus,0.72,Number of flowers/square meter,NA,PrasiummajusGridia17-04-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Salvia fruticosa,7.28,Number of flowers/square meter,NA,SalviafruticosaGridia17-04-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Salvia viridis,3.6,Number of flowers/square meter,NA,SalviaviridisGridia17-04-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Scandix pecten-veneris,6,Number of inflorescences/square meter,NA,Scandixpecten-venerisGridia17-04-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Scorzonera elata,0.16,Number of flowers/square meter,NA,ScorzoneraelataGridia15-05-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Sinapis arvensis,1.92,Number of flowers/square meter,NA,SinapisarvensisGridia17-04-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Sonchus asper,0.2,Number of flowers/square meter,NA,SonchusasperGridia17-04-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Sonchus asper,3.12,Number of flowers/square meter,NA,SonchusasperGridia15-05-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Teucrium capitatum,3.72,Number of heads/square meter,NA,TeucriumcapitatumGridia18-06-2015
2_Petanidou,Gridia,18,6,2015,Gridia,Thymbra capitata,18.56,Number of flowers/square meter,NA,ThymbracapitataGridia18-06-2015
2_Petanidou,Gridia,15,5,2015,Gridia,Urospermum picroides,0.52,Number of flowers/square meter,NA,UrospermumpicroidesGridia15-05-2015
2_Petanidou,Gridia,17,4,2015,Gridia,Vicia hybrida,1.16,Number of flowers/square meter,NA,ViciahybridaGridia17-04-2015
2_Petanidou,Kato Fana,11,5,2015,Kato Fana,Allium exile,2.48,Number of flowers/square meter,NA,AlliumexileKato Fana11-05-2015
2_Petanidou,Kato Fana,4,4,2015,Kato Fana,Calicotome villosa,15.6,Number of flowers/square meter,NA,CalicotomevillosaKato Fana04-04-2015
2_Petanidou,Kato Fana,11,5,2015,Kato Fana,Centaurium tenuiflorum,2.4,Number of flowers/square meter,NA,CentauriumtenuiflorumKato Fana11-05-2015
2_Petanidou,Kato Fana,4,4,2015,Kato Fana,Cistus creticus,0.12,Number of flowers/square meter,NA,CistuscreticusKato Fana04-04-2015
2_Petanidou,Kato Fana,11,5,2015,Kato Fana,Cistus creticus,0.6,Number of flowers/square meter,NA,CistuscreticusKato Fana11-05-2015
2_Petanidou,Kato Fana,4,4,2015,Kato Fana,Cistus parviflorus,9.56,Number of flowers/square meter,NA,CistusparviflorusKato Fana04-04-2015
2_Petanidou,Kato Fana,4,4,2015,Kato Fana,Cistus salviifolius,5.84,Number of flowers/square meter,NA,CistussalviifoliusKato Fana04-04-2015
2_Petanidou,Kato Fana,4,4,2015,Kato Fana,Euphorbia acanthothamnos,19.2,Number of flowers/square meter,NA,EuphorbiaacanthothamnosKato Fana04-04-2015
2_Petanidou,Kato Fana,4,4,2015,Kato Fana,Fumana arabica,0.52,Number of flowers/square meter,NA,FumanaarabicaKato Fana04-04-2015
2_Petanidou,Kato Fana,4,4,2015,Kato Fana,Fumana thymifolia,0.44,Number of flowers/square meter,NA,FumanathymifoliaKato Fana04-04-2015
2_Petanidou,Kato Fana,11,5,2015,Kato Fana,Fumana thymifolia,0.92,Number of flowers/square meter,NA,FumanathymifoliaKato Fana11-05-2015
2_Petanidou,Kato Fana,11,5,2015,Kato Fana,Helichrysum stoechas,1.04,Number of stalks/square meter,NA,HelichrysumstoechasKato Fana11-05-2015
2_Petanidou,Kato Fana,11,5,2015,Kato Fana,Hypericum empetrifolium,37.96,Number of flowers/square meter,NA,HypericumempetrifoliumKato Fana11-05-2015
2_Petanidou,Kato Fana,11,5,2015,Kato Fana,Orobanche sp.,1.44,Number of flowers/square meter,NA,Orobanchesp.Kato Fana11-05-2015
2_Petanidou,Kato Fana,17,6,2015,Kato Fana,Sedum sediforme,1.64,Number of spikes/square meter,NA,SedumsediformeKato Fana17-06-2015
2_Petanidou,Kato Fana,4,4,2015,Kato Fana,Teucrium brevifolium,6.76,Number of flowers/square meter,NA,TeucriumbrevifoliumKato Fana04-04-2015
2_Petanidou,Kato Fana,11,5,2015,Kato Fana,Teucrium divaricatum,5.84,Number of flowers/square meter,NA,TeucriumdivaricatumKato Fana11-05-2015
2_Petanidou,Kato Fana,17,6,2015,Kato Fana,Thymbra capitata,335.16,Number of flowers/square meter,NA,ThymbracapitataKato Fana17-06-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Allium trifoliatum,1.76,Number of flowers/square meter,NA,AlliumtrifoliatumPalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Anacamptis morio,2.72,Number of flowers/square meter,NA,AnacamptismorioPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Anacamptis pyramidalis,3.84,Number of flowers/square meter,NA,AnacamptispyramidalisPalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Anacamptis pyramidalis,1.44,Number of flowers/square meter,NA,AnacamptispyramidalisPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Anagallis arvensis,3.64,Number of flowers/square meter,NA,AnagallisarvensisPalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Anagallis arvensis,0.6,Number of flowers/square meter,NA,AnagallisarvensisPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Anchusa undulata,4.76,Number of flowers/square meter,NA,AnchusaundulataPalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Anchusa undulata,1.16,Number of flowers/square meter,NA,AnchusaundulataPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Anthemis chia,2.08,Number of flowers/square meter,NA,AnthemischiaPalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Bituminaria bituminosa,4.8,Number of flowers/square meter,NA,BituminariabituminosaPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Blackstonia perfoliata,4.76,Number of flowers/square meter,NA,BlackstoniaperfoliataPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Campanula lyrata,0.64,Number of flowers/square meter,NA,CampanulalyrataPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Centaurium tenuiflorum,7.96,Number of flowers/square meter,NA,CentauriumtenuiflorumPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Crepis commutata,10.08,Number of flowers/square meter,NA,CrepiscommutataPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Crupina crupinastrum,0.84,Number of flowers/square meter,NA,CrupinacrupinastrumPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,16,6,2015,Palios Katarraktis,Daucus carota,4.28,Number of sub-inflorescences/square meter,NA,DaucuscarotaPalios Katarraktis16-06-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Geranium purpureum,0.68,Number of flowers/square meter,NA,GeraniumpurpureumPalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Gladiolus italicus,0.36,Number of flowers/square meter,NA,GladiolusitalicusPalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,16,6,2015,Palios Katarraktis,Helichrysum stoechas,0.64,Number of stalks/square meter,NA,HelichrysumstoechasPalios Katarraktis16-06-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Himantoglossum robertianum,1.92,Number of flowers/square meter,NA,HimantoglossumrobertianumPalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,16,6,2015,Palios Katarraktis,Hypericum perforatum,0.68,Number of flowers/square meter,NA,HypericumperforatumPalios Katarraktis16-06-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Hypochaeris achyrophorus,1.28,Number of flowers/square meter,NA,HypochaerisachyrophorusPalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Legousia falcata,0.52,Number of flowers/square meter,NA,LegousiafalcataPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Leontodon tuberosus,1.52,Number of flowers/square meter,NA,LeontodontuberosusPalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Leopoldia comosa,32.4,Number of flowers/square meter,NA,LeopoldiacomosaPalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Lotus ornithopodioides,1.52,Number of flowers/square meter,NA,LotusornithopodioidesPalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,16,6,2015,Palios Katarraktis,Malva unguiculata,0.16,Number of flowers/square meter,NA,MalvaunguiculataPalios Katarraktis16-06-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Nigella damascena,0.16,Number of flowers/square meter,NA,NigelladamascenaPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Ononis pubescens,1.12,Number of flowers/square meter,NA,OnonispubescensPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,16,6,2015,Palios Katarraktis,Ononis pubescens,3.36,Number of flowers/square meter,NA,OnonispubescensPalios Katarraktis16-06-2015
2_Petanidou,Palios Katarraktis,16,6,2015,Palios Katarraktis,Origanum onites,7.64,Number of spikes/square meter,NA,OriganumonitesPalios Katarraktis16-06-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Oxalis pes-caprae,0.88,Number of flowers/square meter,NA,Oxalispes-capraePalios Katarraktis19-04-2015
2_Petanidou,Palios Katarraktis,13,5,2015,Palios Katarraktis,Pallenis spinosa,0.56,Number of flowers/square meter,NA,PallenisspinosaPalios Katarraktis13-05-2015
2_Petanidou,Palios Katarraktis,16,6,2015,Palios Katarraktis,Pallenis spinosa,0.28,Number of flowers/square meter,NA,PallenisspinosaPalios Katarraktis16-06-2015
2_Petanidou,Palios Katarraktis,19,4,2015,Palios Katarraktis,Phelipanche oxyloba,4.8,Number of flowers/square meter,NA,PhelipancheoxylobaPalios Katarraktis19-04-2015
